,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
28727,False,00:17 08/10/2018,,404,0.0,SERVICIO MILITAR OBLIGATORIO BASTA DE NINIS... INTERVENCIÓN DE DE LOS SINDICATOS DOCENTES... BASTA DE PRIVILEGIOS PARA MINORÍAS.. GAYS TORTAS LESBIS Y ABORTERAS... ALDO RICO 2019,https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,torno10,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.8352564,0.77750224,178,154
54606,False,19:47 18/10/2018,1.0,746,5.0,"Más allá de la pueblada y de la indiada que busca cualquiera para romper todo y armar bardo, hay degenerados con la cabeza hecha puré y casos de secuestros de chicos y violación seguidos de muerte en todas partes. ",https://www.lanacion.com.ar/2183027-san-miguel-vecinos-tiraron-piedras-se-enfrentaron,cborja,,Sociedad,San Miguel: vecinos tiraron piedras y se enfrentaron a la policía luego de la aparición del cuerpo de Sheila Ayala,0.7133764,0.55922586,214,175
12775,False,21:42 30/09/2018,4.0,201,0.0,Estos son unos grasas impresentables... dom conventilleros y promiscuos. Que mal esta la educación y los responsables de esa falta de valores son los docentes... tengan respeto por su trabajo impresentables.,https://www.lanacion.com.ar/2177171-docentes-hicieron-fiesta-escuela-moreno-cerrada-explosion,bcampos2,,Política,Docentes hicieron una fiesta en una escuela de Moreno cerrada desde la explosión,0.6036376,0.5078699000000001,207,177
1711,True,00:33 25/09/2018,1.0,22,0.0,"sisi claro yo llego lo mas bien y soy ingeniero. Vagos son los que no estudiaron una goma y se comsiderab labjrantes porque no pueden hacer otra cosa que salir a manejar un camion o apilar cajas en el deposito. Tenes un poco invertidos los valores de la cultura del trabajo y la clasica vision izquierda de que el empresario es el enemigo. Noticias para vos, el empresario es el que levanto su pyme para que venga el sindicato y le aumente los costos x3 a cambio de nada ni para el ni para los trabajadores, que terminan pagando todo mas caro por politicas que se creyeron los favorecia. Ni un auto se pueden comprar con lo que sale mantener un operadio se smata.",https://www.lanacion.com.ar/2175265-quienes-es-quien-todos-protagonistas-del-acto,elpauperrimo,,Política,Quién es quién: todos los protagonistas del acto de la CTA,0.56116796,0.47459352,663,540
27861,False,08:21 08/10/2018,5.0,404,0.0,"Los desviados sexuales andan alarmados por el inminente triunfo, tranquilos que puede parecer un loco, pero no los va a ejecutar como hacían en cuba, urrs y el mismo che guevara que tanto admiran",https://www.lanacion.com.ar/2179480-elecciones-brasil-bolsonaro-quedo-paso-presidencia-pero,fedeacade,Alberto Armendáriz,El Mundo,"Elecciones en Brasil: Bolsonaro obtuvo una contundente victoria, pero deberá ir al ballottage con Haddad",0.48395562,0.4251348,195,162
26355,True,00:35 07/10/2018,1.0,382,0.0,@gallina_full Debes ser dos tortas de casamiento,https://www.lanacion.com.ar/2179233-carrio-indignada-cambio-afip-equivale-aliarse-echegaray,nesfer24,,Política,"Carrió, indignada por un cambio en la AFIP: ""Equivale a aliarse con Echegaray y su gente""",0.087321766,0.1863225,48,42
3800,False,15:56 25/09/2018,1.0,45,0.0,¿Y cuántas excomuniones hubo para castigar a los degenerados?,https://www.lanacion.com.ar/2175386-alemania-iglesia-pidio-perdon-mas-3600-casos,pinhasricardo,,El Mundo,Alemania: la Iglesia pidió perdón por los más de 3600 casos de abusos cometidos entre 1946 y 2014,,,61,53
5239,True,22:35 27/09/2018,1.0,98,0.0,"@Elefaris79 @Myanki Por el contrario, es lo que hacen los países más ricos, o se creen que ponen trabas a todo?",https://www.lanacion.com.ar/2176195-el-gobierno-elimina-aranceles-importacion-productos-tecnologicos,Myanki,,Economía,El Gobierno elimina aranceles para la importación de productos tecnológicos,,,111,91
19621,False,19:17 03/10/2018,,277,0.0,"Para contribuir al ""equilibrio fiscal"" este hato de degenerados cobra impuestos a la Soja en pesos y las tarifas en dólares.
El que no quiera entender que eso es muy ""serio"" es mapucheiranívenezolanotroskokichnerista.",https://www.lanacion.com.ar/2178175-fuerte-respaldo-del-foro-convergencia-empresarial-al,jperez72,,Economía,Fuerte respaldo del Foro de Convergencia Empresarial al acuerdo del Gobierno con el FMI,,,220,189
24472,False,09:18 07/10/2018,9.0,362,3.0,"8.000 millones de pesos invertidos en viviendas, que luego seran habitadas, infraestructura, canchas, piletas, que quedan para todos. 

8.000 millones de pesos del impuesto a los combustibles, desviados (KL) a su propio pecunio ( y de la reyna)  en casinos, propiedades en Miami y Argentina, medios de komunicacion, retornos en alquileres. 

Pequeña gran diferencia de lo que se puede hacer con 8.000 millones de pesos.",https://www.lanacion.com.ar/2179229-juegos-olimpicos-juventud-ceremonia-inaugural-fotos,mama58,Fernando Vergara,Deportes,Juegos Olímpicos de la Juventud: así se vivió la ceremonia inaugural en pleno centro porteño,,,431,366
31360,False,15:04 08/10/2018,2.0,435,1.0,"Si la homosexualidad es una enfermedad...puedo pedir licencia?? ""Hola, si, no voy hoy, me desperte y todavia me gustan los tipos...Si, ya se, otra vez, pero viste como es esto...si mañana me gustan las minas voy, dale?""",https://www.lanacion.com.ar/2179671-rumania-referendum-matrimonio-igualitario-gay-constitucion-prohibicion,SolLeks,,El Mundo,Rumania: polémica por un referéndum que quiere prohibir el matrimonio igualitario,,,219,183
