,fecha,likes,nota_id,nota_url,respuestas,texto,usuario,es_respuesta
0,17:43 27/09/2018,,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,Qué se puede esperar de la coimabol gay llina?? Escritorio para todos.,xeneizealpalo,False
1,08:13 27/09/2018,,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,Cruzeiro ahora elimina a Boca!!!,fgattas,False
2,07:18 27/09/2018,2,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,Se hizo justicia. No fue intencional.,BSpinoza,False
3,07:15 27/09/2018,,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,"Fortuito o no el golpe, tambièn se lo puede perdonar, Boca ha recibido perdones de la Conmebol, o no? Los clubes argentinos han degenerado a lo largo de la historia el desarrolllo de la Libertadores, haciendo que esta de un poco de asco.Los brasileros se han sumado a este comportamiento, los vamos a culpar?",sl,False
4,07:08 27/09/2018,1,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,"EStudiantes la ultima vez que saliò campeòn jugò con una incorporaciòn de un defensa en forma ilegal, se le denunciò y ni caso, la Conmebol hizo oidos sordos. 
despuès que saliò campeòn, ahi si, la Conmebol dijo que el jugador estaba inhabilitado. La Libertadores ha perdido mucha seriedad. Demasiada concesiones a clubes brasileros y argentinos.",sl,False
5,06:00 27/09/2018,1,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,1,Primera vez que se deja sin sanción a una expulsion de VAR?,AC1967,False
6,06:45 27/09/2018,1,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,muy buen punto. El VAR no estaba para dilucidar acciones confusas? Y quien dice entonces que la COIMABOL tiene razón y el árbitro no? No son corresponsables con el árbitro. Entonces para que sirve el VAR si después se acomodan las cosas en los escritorios?,Madmaster,False
7,05:51 27/09/2018,1,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,el negrito enfiló con su cabeza a matar o morir..eso es indudable se tiró a la pileta sin agua con obediencia de un kamikaze. No tendrían que haberle perdonado la sanción. Y Andrada todo lo contrario pecó de inocente y salió perdiendo. A ver si a Chilavert le hiban a hacer esto. Saltaba con la rodilla levantada y arrasaba con todos,Madmaster,False
8,01:53 27/09/2018,1,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,0,"Estoy de acuerdo contigo, igual Andrade sale a mi parecer mal, debería haberse cubierto con el otro brazo. Una lastima, espero que se recupere pronto y que no le quede ninguna secuela.",Aldopetti,False
9,01:51 27/09/2018,1,0,https://www.lanacion.com.ar/2175921-cruzeiro-boca-sin-sancion-dede-choque-andrada-antecedente,1,"Agresion? Fue un burdo choque, pero choque al fin y en los videos no parece intencional.",Aldopetti,False
