,es_respuesta,fecha,likes,nota_id,respuestas,texto,url,usuario,autor,seccion,titulo,severe_toxicity,toxicity,caracteres,caracteresSE
5579,False,20:42 27/09/2018,1.0,99,1.0,"Al periodismo ""busca pauta"" LN : sigan jodiendo con pálidas a diestra y siniestra y conseguirán el bolsonaro-hitler argentino, que esta esperando relamiéndose. Ya nos tienen podridos!!",https://www.lanacion.com.ar/2176184-pobreza-indigencia-indec,grangel,Francisco Jueguen,Economía,"La pobreza fue de 27,3% en el primer semestre y alcanza a 12 millones de personas",0.8352564,0.8023977,184,158
27389,False,22:32 08/10/2018,1.0,402,0.0,que periodico de izquierda.. fascistas son ud LN,https://www.lanacion.com.ar/2179487-para-america-latina-impacto-triunfo-bolsonaro-puede,ezequiel_inver,Daniel Lozano,El Mundo,"Para América Latina, el impacto de un triunfo de Bolsonaro puede ser sísmico",0.7266589,0.8023977,48,41
39157,False,20:20 11/10/2018,3.0,534,7.0,"Editor de LN, como Usted permite que se escriben las barbaridades que ahora se escriben en el foro de la noticia de Bolsonaro, enalteciendo y vivando a la dictadura de Videla y otros. Donde ha llegado este Diario por favor, ese foro es una verdadera cloaca de sandeces, insultos y agravios.",https://www.lanacion.com.ar/2180846-elisa-carrio-yo-no-pedi-renuncia-garavano,RRRIOS,,Política,"Elisa Carrió: ""Yo no pedí la renuncia de Garavano, fue una broma""",0.7266589,0.8023977,290,240
12565,False,00:07 30/09/2018,3.0,193,3.0,"Es impresionante el desconocimiento político de los países vecinos de los lectores de LNO !!! Vivo en Brasil hace 30 años y todavía me asombra la ignorancia del lector medio de este diario. No hay un solo comentario que no sea tendencioso y elitista. Bolsonaro es un nazi recalcitrante y un ladrón mentiroso. Si fuera en Alemania estaría preso. En fin...ni me voy a gastar en explicar más, porque ya se perfila hasta en los mercados sus derrota. Bajó el dólar y subió la Bolsa en Brasil, porque ya nadie en el mundo empresarial le teme a Haddad y a Bolsonaro no les gustaba nada con sus ideas hitleristas. Sigan en las nubes de ùbeda. Buenas noches y que vuestro Macri los ampare.",https://www.lanacion.com.ar/2176988-las-brasilenas-se-plantaron-frente-bolsonaro-masiva,marquendez,Alberto Armendáriz,El Mundo,Las brasileñas se plantaron frente a Bolsonaro con una masiva movilización,0.802423,0.67429656,680,558
56081,True,17:47 19/10/2018,5.0,756,1.0,@mbetuska déjese de gansadas. Los únicos trolls son la banda de AnibalF. Y por más que grazne o rebuzne no va a convertir a los lectores de LN en perejiles a kuerda rentados como usted.,https://www.lanacion.com.ar/2183320-federici-uif-el-pais-estuvo-gobernado-organizacion,ChrisMB,Ignacio Federico,Economía,"Federici, de la UIF: ""El país estuvo gobernado por una organización criminal destinada a lucrar""",0.6857525,0.67429656,185,151
29914,True,16:37 07/10/2018,2.0,412,0.0,"@merc1708 @eboNOB2 Quien no fue menemista en este país? El único que reivindica los 90 es el turco Asís, un sabio y carente de hipocresía periodista",https://www.lanacion.com.ar/2179413-elisa-carrio-macri-va-tener-elegir-pero,LeonSKennedy,,Política,"Elisa Carrió aclara que no romperá con Cambiemos, pero insiste con que ""la impunidad no es negociable""",0.7190373999999999,0.6713916999999999,148,123
64715,False,19:02 23/10/2018,2.0,887,0.0,"Hijo de la ex presidentE LN. PresidentE.
No aprendemos , muchachos eh.. al menos como esa no lo serà mas , nos ahorraremos de lee el error una y otra vez",https://www.lanacion.com.ar/2184480-el-sutil-mensaje-remera-maximo-kirchner,melanee,,Política,El sutil mensaje de la remera de Máximo Kirchner,0.56116796,0.66573274,156,127
56812,True,14:34 21/10/2018,,757,0.0,"@perez_manija . . . . . . . . . . y a vos que te preocupa mas Venezuela o que Arabia Saudita asesine a sangre fría un periodista? con la complicidad de USA que no lo enfrenta para poder venderle armas y comprar petroleo, dale manija . . . . . . no dale gas",https://www.lanacion.com.ar/2183433-arabia-saudita-confirmo-periodista-jamal-khashoggi-murio,gracielanovillo,,El Mundo,Arabia Saudita confirmó que el periodista Jamal Khashoggi murió en el consulado de Estambul,0.81660134,0.66441774,256,201
41121,False,13:37 12/10/2018,2.0,563,2.0,"UNA VEZ UN PERIODISTA RUSO ME DIJO: MIRE, DE LA MEZCLA DE ESPAÑOLES, ITALIANOS, INDIOS, CRIOLLOS, ARABES, JUDIOS, CATOLICOS, PROTESTANTES, MUSULMANES, EVANGELICOS, LATINOAMERICANOS, EUROPEOS POBRES, CHINOS, JAPONESES, COREANOS Y RECIENTEMENTE AFRICANOS, NO PUEDE SALIR OTRA COSA QUE UN PAIS TRAGICOMICO. 
¡QUE RAZON TENIA EL TIPO! ",https://www.lanacion.com.ar/2181169-sobresueldos-casacion-confirmo-condena-cuatro-anos-medio,Mojigato,Paz Rodríguez Niell,Política,Sobresueldos: Casación confirmó la condena de cuatro años y medio de prisión contra Carlos Menem,0.80021286,0.6556739,334,289
32761,True,15:52 10/10/2018,8.0,454,0.0,@vicente_roth que vida de crack que debes tener para tildar de mentiroso al autor de la nota. Siga MAESTRO la Argentina necesita menos gente como Ud. MARMOTA,https://www.lanacion.com.ar/2180070-puerto-almanza-pueblo-mas-austral-america-del,Lobos74,Leandro Vesco,Deportes,"
                Puerto Almanza, el pueblo más austral de América del Sur donde reina la centolla
            ",0.5878515999999999,0.58826876,157,131
47996,False,23:01 16/10/2018,4.0,678,0.0,"EN LA FOTO DE ESTE IMPRESENTABLE EN INFOBAE TIENE PINTA QUE SI LO PELLIZCÁS TE DA VUELTA UN FALLO A TU FAVOR!!!,",https://www.lanacion.com.ar/2182331-luis-carzoglio-no-me-van-correr-aprietes,DAMON11,,Política,"El juez que rechazó detener a Moyano aclaró: ""No me van a correr con aprietes""",0.42928058,0.58826405,112,91
1766,True,23:08 24/09/2018,3.0,22,4.0,No la vi renunciar a la loca por matar a un fiscal de la nacion,https://www.lanacion.com.ar/2175265-quienes-es-quien-todos-protagonistas-del-acto,Superlogico_83,,Política,Quién es quién: todos los protagonistas del acto de la CTA,0.56116796,0.5874461999999999,63,49
57348,False,21:09 19/10/2018,23.0,776,0.0,"LN cada dia mas animales ustedes. Que necesidad poner la direccion, ubicacion y hasta el Google map street view de la casa de la familia? No quieren poner de paso en que habitacion duerme cada integrante de la familia asi cuando vayan a vengar a estos chorros sepan bien a cuales cuartos meterse y a cuales no? Son unos brutos.",https://www.lanacion.com.ar/2183360-llavallol-familia-resistio-entradera-mato-dos-delincuentes,redr1529,,Sociedad,Llavallol: una familia resistió una entradera y mató a dos delincuentes,0.56116796,0.58719254,327,268
